stripid,cmsswid,FED,CCU,VFE,logicid
237640,872415401,606,24,4,1216062404
229640,872415402,606,24,1,1216062401
229576,872415406,606,17,1,1216061701
229512,872415415,606,9,1,1216060901
229648,872415530,606,24,2,1216062402
229584,872415534,606,17,2,1216061702
229520,872415543,606,9,2,1216060902
229448,872415547,606,2,1,1216060201
229656,872415658,606,24,3,1216062403
229592,872415662,606,17,3,1216061703
229528,872415671,606,9,3,1216060903
229456,872415675,606,2,2,1216060202
237704,872415780,606,34,1,1216063401
229832,872415790,606,17,4,1216061704
229768,872415799,606,9,4,1216060904
237648,872415910,606,34,2,1216063402
229896,872415915,606,24,5,1216062405
229840,872415918,606,17,5,1216061705
229776,872415927,606,9,5,1216060905
229704,872415930,606,2,5,1216060205
229464,872415931,606,2,3,1216060203
221448,872415932,606,2,4,1216060204
221456,872415935,605,25,4,1216052504
221384,872415937,605,25,3,1216052503
237832,872416026,606,33,1,1216063301
237768,872416031,606,30,1,1216063001
237968,872416034,606,30,2,1216063002
237960,872416036,606,29,1,1216062901
237904,872416039,606,29,2,1216062902
237896,872416041,606,23,2,1216062302
229912,872416043,606,23,1,1216062301
229904,872416046,606,16,2,1216061602
229848,872416048,606,16,1,1216061601
229712,872416058,606,1,1,1216060101
221640,872416067,605,17,2,1216051702
221256,872416075,605,11,1,1216051101
237840,872416154,606,33,2,1216063302
237976,872416164,606,29,3,1216062903
230152,872416171,606,23,3,1216062303
229784,872416181,606,8,1,1216060801
221704,872416190,605,24,2,1216052402
221648,872416193,605,24,1,1216052401
221320,872416198,605,17,1,1216051701
221264,872416203,605,11,2,1216051102
237848,872416282,606,33,3,1216063303
238032,872416287,606,30,4,1216063004
238024,872416288,606,30,3,1216063003
238160,872416295,606,29,4,1216062904
230088,872416304,606,16,3,1216061603
229720,872416311,606,8,2,1216060802
221712,872416316,606,1,2,1216060102
221656,872416321,605,24,3,1216052403
221576,872416326,605,17,3,1216051703
245896,872416405,607,14,3,1216071403
245832,872416407,607,14,2,1216071402
238096,872416411,606,33,5,1216063305
238088,872416412,606,33,4,1216063304
238216,872416420,606,29,5,1216062905
238152,872416425,606,23,4,1216062304
230168,872416427,606,23,5,1216062305
230160,872416430,606,16,4,1216061604
230096,872416432,606,16,5,1216061605
230024,872416437,606,8,3,1216060803
229960,872416442,606,1,3,1216060103
221584,872416454,605,17,4,1216051704
221520,872416458,605,11,4,1216051104
213256,872416462,605,25,1,1216052501
238040,872416543,606,30,5,1216063005
230032,872416565,606,8,5,1216060805
229968,872416567,606,8,4,1216060804
229976,872416570,606,1,5,1216060105
221968,872416572,606,1,4,1216060104
221960,872416574,605,24,4,1216052404
221896,872416577,605,24,5,1216052405
221592,872416582,605,17,5,1216051705
221528,872416586,605,11,5,1216051105
221272,872416587,605,11,3,1216051103
213192,872416592,605,25,2,1216052502
245904,872416661,607,20,1,1216072001
246096,872416664,607,20,2,1216072002
246088,872416666,607,13,2,1216071302
238104,872416668,607,13,1,1216071301
238344,872416671,606,32,2,1216063202
238280,872416672,606,32,1,1216063201
238224,872416676,606,28,1,1216062801
238168,872416681,606,22,2,1216062202
230176,872416683,606,22,1,1216062201
230104,872416686,606,15,1,1216061501
230040,872416695,606,7,1,1216060701
229984,872416698,605,31,1,1216053101
221904,872416705,605,23,1,1216052301
221832,872416709,605,16,1,1216051601
221512,872416713,605,10,1,1216051001
246176,872416790,607,20,3,1216072003
238288,872416801,606,32,3,1216063203
238232,872416804,606,28,2,1216062802
230408,872416814,606,15,4,1216061504
230344,872416815,606,15,2,1216061502
221976,872416828,605,31,2,1216053102
221912,872416833,605,23,2,1216052302
213520,872416843,605,10,2,1216051002
213512,872416845,605,6,2,1216050602
246104,872416922,607,13,3,1216071303
238352,872416925,607,13,4,1216071304
238536,872416932,606,28,4,1216062804
238472,872416934,606,28,3,1216062803
238408,872416937,606,22,3,1216062203
230416,872416940,606,22,4,1216062204
230352,872416943,606,15,3,1216061503
230280,872416950,606,7,2,1216060702
221840,872416964,605,16,3,1216051603
221768,872416966,605,16,2,1216051602
213448,872416975,605,6,3,1216050603
213200,872416976,605,6,1,1216050601
245960,872417040,607,14,4,1216071404
246152,872417045,607,20,4,1216072004
238360,872417055,606,32,4,1216063204
238480,872417061,606,28,5,1216062805
238416,872417065,606,22,5,1216062205
230288,872417077,606,7,3,1216060703
230224,872417081,605,31,4,1216053104
222216,872417084,605,31,3,1216053103
222152,872417088,605,23,3,1216052303
221776,872417096,605,10,4,1216051004
213528,872417099,605,10,3,1216051003
213456,872417104,605,6,4,1216050604
246216,872417170,607,14,5,1216071405
246160,872417173,607,20,5,1216072005
246344,872417178,607,13,5,1216071305
238544,872417185,606,32,5,1216063205
82120,872417199,606,15,5,1216061505
82056,872417206,606,7,5,1216060705
